"id_arbol","direccion","tipo_vereda","lado_vereda","especie","tipo_tendido","distancia_entre_ar","distancia_al_muro","activo","lng","lat"
9140,puerto,Grande,Par,Chivato,Ninguno,10.0,0.0,true,-58.8378750416069991,-27.4616910658990001
9141,Av. Costanera,Grande,Impar,Chivato,Ninguno,7.0,0.0,true,-58.8411420046430038,-27.4613804537289994
9142,Av. Costanera,Chica,Impar,Lapacho rosado,Ninguno,5.0,0.0,true,-58.8412986556349935,-27.4613716905530012
9143,puerto,Grande,Par,Lapacho rosado,Ninguno,5.0,0.0,true,-58.8378899162979963,-27.4616896434909989
9144,Av. Costanera,Grande,Impar,Ibirá Pitá,Ninguno,10.0,0.0,true,-58.8413939019140031,-27.4613628002379997
9145,Av. Costanera,Grande,Par,Pino,Alta tensión (Con Protección),4.0,0.0,true,-58.8411817890549997,-27.4612594416109985
9146,puerto,Grande,Par,Pata de Buey,Ninguno,11.0,0.0,true,-58.8378842894519991,-27.4616822386050039
9147,Av. Costanera,Grande,Par,Pino,Ninguno,10.0,0.0,true,-58.8412572358339929,-27.4612232724780014
9148,Av. Costanera,Grande,Par,Pino,Ninguno,12.0,0.0,true,-58.8413139739029987,-27.4611881001249998
9149,puerto,Grande,Par,Chivato,Ninguno,6.0,0.0,true,-58.8379090357449996,-27.4616851795590016
9150,puerto,Grande,Par,Mango,Ninguno,6.0,0.0,true,-58.8379293428699981,-27.4616698823239993
9151,Av. Costanera,Grande,Par,Lapacho rosado,Ninguno,3.0,0.0,true,-58.8411107749530018,-27.4611336502029992
9152,Av. Costanera,Chica,Par,Thuja,Ninguno,4.0,0.0,true,-58.841164663440999,-27.4610986416039999
9153,puerto,Grande,Par,Tecoma Lapachillo,Ninguno,7.0,0.0,true,-58.8379258005690033,-27.4616486694810007
9154,Av. Costanera,Grande,Par,Tecoma Lapachillo,Ninguno,4.0,0.0,true,-58.8412065127190047,-27.4610710280010011
9155,puerto,Chica,Par,Mango,Ninguno,7.0,0.0,true,-58.8378935326300052,-27.4616360148480005
9156,Av. Costanera,Grande,Impar,Lapacho rosado,Ninguno,5.0,0.0,true,-58.8412571367899986,-27.4610434354489996
9157,puerto,Grande,Par,Jazmín magno,Ninguno,6.0,0.0,true,-58.8378886714000018,-27.4616425455019986
9158,Av. Costanera,Grande,Impar,Pata de Buey,Ninguno,4.0,0.0,true,-58.8413006908590006,-27.4610879799719996
9159,puerto,Grande,Par,Tecoma Lapachillo,Ninguno,7.0,0.0,true,-58.8378813245330079,-27.4616443138170006
9160,"9 de Julio 602",Mediana,Par,Ficus,Media Tensión (Con Protección),4.0,3.0,true,-58.8426060125000063,-27.465934272298
9161,"9 de Julio 638",Mediana,Par,Palmera,Media Tensión (Con Protección),3.0,3.0,true,-58.8424428416989898,-27.4660302258539986
9162,"9 de Julio 638",Mediana,Par,Palmera,Media Tensión (Con Protección),13.0,3.0,true,-58.8423417430440097,-27.4660460767229999
